instruction_id,conversation_id,utterance,label
movie-finder,dlg-01595201-bac0-4e02-8b00-35f01ec2c3ed,Can you help me find a movie to watch?,movie-search
movie-finder,dlg-07cb856a-b92f-45f2-a9f2-0a9a62aef118,"Hey, do you know any good movies lately?",movie-search
movie-finder,dlg-0d5e2f3e-9347-4260-b79c-110b003f0157,I need your help finding something to watch tonight.,movie-search
movie-finder,dlg-184595c6-c914-4e3b-991f-e81ae0370f9f,"Assistant, are there any movies playing that you think I'd like?",movie-search
movie-finder,dlg-1ba0d418-3a60-49ff-bcb8-b3733f3ff3ec,"Hi, I'm looking for a movie recommendation.",movie-search
movie-finder,dlg-1d84502c-425b-42dc-94a3-971363224ffc,"How's it going, I'm looking for a movie.",movie-search
movie-finder,dlg-1d9d233f-e617-44e9-a8df-04b951129615,Hi! I want to find a movie to watch.,movie-search
movie-finder,dlg-32dc3301-1813-4aeb-8838-e8cdd8173b48,"Hey Laura, mind helping me find a movie to watch?",movie-search
movie-finder,dlg-35331ef8-4643-42b4-85bf-c6f067cf34c1,"""Assistant, help me find a movie to watch at home tonight."" ",movie-search
movie-finder,dlg-356fa9de-6268-462b-8cb8-53f931c2a584,"Hi there, I'd like to find a movie to watch tonight",movie-search
movie-finder,dlg-45cd8dc7-0d2d-4a24-a360-e6f5228ba55f,Give me a movie to watch,movie-search
movie-finder,dlg-470a6212-a08a-4004-8ab2-ff272328b622,I want a movie to watch,movie-search
movie-finder,dlg-4d270983-625c-426d-9f48-a9a4bc919aec,"PA, I'd like to watch a movie.",movie-search
movie-finder,dlg-5584f604-5324-4d25-8570-20a84f741116,Can you help me find a good movie to watch?,movie-search
movie-finder,dlg-696de5d0-8609-430a-89f3-b438c02da5e2,How about an exciting movie?,movie-search
movie-finder,dlg-6b2839ed-bef5-485a-bd59-fe6b70db978b,Do you have any recommendations for a good movie to watch tonight?,movie-search
movie-finder,dlg-6c08c077-0e2d-4077-a25d-b1afc4b891dd,"Hey assistant, I'm looking for a movie to watch at home.",movie-search
movie-finder,dlg-6f3f06a1-e86b-47e1-9b57-4c75850c507f,Looking for a new movie to watch.,movie-search
movie-finder,dlg-6fc11684-fb1a-416e-87a3-4583c8a69c97,"Hello, can you recommend me a movie?",movie-search
movie-finder,dlg-716b30a4-2d0c-422c-9981-baa236553af4,hey google i want to see weather the movie name avengers released or not,movie-search
movie-finder,dlg-71bf2966-7fb6-491a-8397-b59152e81c6b,"Hey there, I was wondering if you could find me a movie to watch tonight, I would like something with a lot of action.",movie-search
movie-finder,dlg-7649d374-ea75-41de-ab3e-870110e84bb7,I need help finding a movie to watch.,movie-search
movie-finder,dlg-78db147f-5a50-4ff0-b8c6-68f976b90426,Find me a romance movie starring Tom Hanks.,movie-search
movie-finder,dlg-79e1f46b-8c2f-4595-ac48-93a65313644e,Can you help me find a movie I can watch at home?,movie-search
movie-finder,dlg-7b463f14-2814-488d-9226-075e71cd4205,Find me a movie I can watch tonight.,movie-search
movie-finder,dlg-7bad6709-b5ca-4a47-b98f-7fed04fe46ff,Hey assistant. I want to watch a movie tonight.,movie-search
movie-finder,dlg-7d6991d0-cfa8-4e11-b597-28f1bd7a6333,"Assistant, please locate a good theater for me to watch a good show.",movie-search
movie-finder,dlg-853dde12-387c-4951-8c7e-0aa328f83f1a,"Hey Alice, can you find me a movie to watch?",movie-search
movie-finder,dlg-86b2b865-84f6-483d-86aa-107090d5b47e,"Hey, I was wondering if you could help me choose a movie to watch later?",movie-search
movie-finder,dlg-951a4155-0671-432e-adf2-f442291bd697,"Hello, I want to watch a thriller.",movie-search
movie-finder,dlg-9af47d41-e3d8-47ac-b232-1ca4e0113a88,Can you find me something good to watch tonight?,movie-search
movie-finder,dlg-9d033a35-f804-4946-9be5-dc939dd1f23c,"Hey, I'm at home and I'm in the mood for a movie. ",movie-search
movie-finder,dlg-9dab2277-780d-4f97-9800-61e65fdfc67f,Give me some movie ideas that I can watch at home.,movie-search
movie-finder,dlg-a30a5424-80f6-4d5c-8267-46fb715135e0,Hi I am looking for a movie to watch at home,movie-search
movie-finder,dlg-a3515936-c4cb-4355-9558-9d7bbb472152,Find me a good movie to watch.,movie-search
movie-finder,dlg-b1503157-16cb-48ce-a123-db92ac73587b,I am looking for good movies.,movie-search
movie-finder,dlg-b3a93f6d-84f8-48ba-8476-e5214bc5e815,"Hello Assistant, I'd like to watch a movie",movie-search
