instruction_id,conversation_id,utterance,label
food-ordering-3,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,"Oh, that's right. Can I order takeout for two people, please, for Italian?",food-order
food-ordering-2,dlg-0132dd67-ad75-4d59-83de-5cdadf9cd830,Hi. I'd like to order a sandwich takeout order for one.,food-order
food-ordering-2,dlg-01765acc-b2cf-46b9-8961-7f259645b414,"Hi, I'm in this really like super three-way relationship, and we are looking to buy some sandwiches. Can you help me with that?",food-order
food-ordering-2,dlg-01839744-e367-4b7d-b8c4-42a40974c310,"Yes, I'd like to order hot dogs for three people, please.",food-order
food-ordering-4,dlg-025a1022-3f81-4266-b4a9-da0b7deb3d24,That's correct but I'd like to add two iced teas if you don't mind.,food-order
food-ordering-2,dlg-02a11af8-646b-4376-b86f-a25ac8fbb6eb,Hi assistant. I would like to order some food.,food-order
food-ordering-2,dlg-02e2f90f-746c-414f-99fd-cc5178ae60a6,Hi. I'd like to order a hot dog.,food-order
food-ordering-1,dlg-03084b5a-1cf3-40d2-a2f6-4d3d1488532f,"Hi. Today I need to find a restaurant for take-out for one person, and I'm looking for burritos to eat.",food-order
food-ordering-1,dlg-0354e60a-4747-408a-9d1b-6c981d4d579f,"Hi, I would like to place an order of Mexican food for one person.",food-order
food-ordering-1,dlg-0419f6a2-94d8-43d0-8182-4ea7802de061,I'd like to take out some food.,food-order
food-ordering-1,dlg-0432d350-ff4f-4fd8-82c3-4a50c88b0888,"Hello. I would like to place an order for takeout. I would like pizza, please.",food-order
food-ordering-2,dlg-0460c70c-34cb-43c5-affb-952f7365be73,"Hello, I need to order food takeout food for three people, and I need to order some soup.",food-order
food-ordering-2,dlg-05a3965e-312b-429c-be3c-6c2d1c42c6d0,"Hi assistant, I'm looking to order some food for takeout for two people, and I'd like to order some soup, please.",food-order
food-ordering-4,dlg-061066f5-b9d3-4537-9d77-a94233473558,Hello. I need to reorder something I ordered last weekend for takeout.,food-order
food-ordering-1,dlg-06800509-feaf-4411-a260-9a358abe5f32,"Yeah, I need to place an order for pickup on burritos.",food-order
food-ordering-2,dlg-0685c410-3ff3-4ca7-ba16-0c5171de3933,"Hello, I need to order takeout food for three people. I'm looking for Breakfast burritos.",food-order
food-ordering-1,dlg-06a169dc-2913-4346-bd15-190ce5fb6559,I want to order some take-out for two. I want some poke.,food-order
food-ordering-1,dlg-06af4900-e9c9-4526-9621-7f4c102cf662,"Hi, I would like to order Chinese food to take-out for two people.",food-order
food-ordering-1,dlg-06e5677b-6e83-41db-bea2-16cab53f1d47,I'd like to order takeout for two people.,food-order
food-ordering-1,dlg-06e78062-2747-476f-b04a-2e76a458e238,I'd like to order takeout for one person.,food-order
food-ordering-2,dlg-072b3156-9fab-408c-b5da-0c22c2721724,"Yes, I'm ordering food for three people. We would like to order Greek, please. We are ordering three Gyros, extra sour cream, large fries on the side with packets of ketchup and three large ice tea.",food-order
food-ordering-2,dlg-0788c23a-40e2-42d0-b46b-dc06f2ded94b,Hi. I'd like to order some takeout today for two people. I like sandwiches.,food-order
food-ordering-1,dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1,"Yeah, I'd like to place an order for some Indian food.",food-order
food-ordering-2,dlg-07f6fe6a-5cf4-40f5-bd91-c0f400a0e146,I just need three hot dogs for three people with chili and cheese.,food-order
food-ordering-1,dlg-08075f28-b2dc-4ebc-bfd7-08b2b4abd91b,"Hi. I'd like to order a pizza with half mushroom, half olives and also, I'd like to get a Caesar salad on the side.",food-order
food-ordering-2,dlg-080ad2ae-5f07-4cbd-88ed-bb0893898f5c,"Hi, I'd like to order one sandwich for myself.",food-order
food-ordering-1,dlg-08287da0-9b1e-4471-8f01-7e3a47958987,I need to order take-out food.,food-order
food-ordering-2,dlg-082d002c-82b7-4aa7-82fe-e19394fc7ea3,Can you take an order for pasta?,food-order
food-ordering-1,dlg-085061db-95af-4dd9-9b0b-a05755678873,Hi. I need help finding a burger joint to order from.,food-order
food-ordering-4,dlg-0923d68b-08ce-4992-85d5-3933c7deddc8,I'd like to place a reorder a meal for takeout. Could you help me with my last order from Sarah's Pizza?,food-order
food-ordering-2,dlg-093836e0-30d0-4014-80f5-e7112e064779,Hello Assistant. I would like to order some Italian food for three people for takeout.,food-order
food-ordering-2,dlg-0993ea3a-b656-4222-bb14-127dc06113ff,I want to order takeout.,food-order
food-ordering-2,dlg-0999a44a-d59d-4644-a297-b8196a1b2e65,"Hi. I need help ordering takeout for three people, please.",food-order
food-ordering-1,dlg-09a7ebae-784c-4da8-840f-272d9af53b1c,I was looking to order some pizza for takeout?,food-order
food-ordering-1,dlg-09cccabc-a782-4d4a-b85a-220bad47cca9,"Hello, I'd like to order Mexican food for three people, please.",food-order
food-ordering-2,dlg-09f9b8d3-9154-475f-b73d-9d6d4349e23f,I'd like to place an order for takeout for two people.,food-order
food-ordering-1,dlg-0a2187ca-7e7e-4f03-8c42-bc6235d35477,"Hi, I need to order burgers for take-out.",food-order
food-ordering-1,dlg-0a2acdf0-a71d-42b4-a01e-8e2c8cf40d86,"Hi, I wanted to get some takeout burgers just for me. Can you help me with that?",food-order
food-ordering-1,dlg-0a5f5ba3-9431-4509-a9f5-d29656b8daeb,I was trying to order some gyros for three people from a take-out place.,food-order
