instruction_id,conversation_id,utterance,label
hotel-2,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,Find a hotel near the beachfront.,hotel-search
hotel-1b,dlg-00131332-f7b3-4227-9672-652dd3a2c39e,"Park City Peaks Hotel in Park City, Utah. I'd like to stay there from December 20th to December 27th, 2016.",hotel-search
hotel-1c,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,"I'd like to find out more about the hotel, I plan to stay at Homeland final episode.",hotel-search
hotel-8,dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57,"Hi, I'd like to find a hotel in Laguna Beach, California.",hotel-search
hotel-10,dlg-003fa5f0-3457-464b-b22b-e74194fe172a,I'd like help in finding a hotel in San Francisco.,hotel-search
hotel-8,dlg-0051755b-26c0-43ca-97c8-ba3200da927b,"I'd like help finding a hotel in San Francisco, California.",hotel-search
hotel-10,dlg-007575c1-956d-4d70-bb73-fd6741982c4c,I'd like help finding a new hotel in San Francisco.,hotel-search
hotel-8,dlg-007b5799-8ef8-4cc0-9ae3-605bf6d9e790,"Hi, I'm looking to find a hotel in San Francisco, Califonia.",hotel-search
hotel-5,dlg-007b6ac4-e61b-43bc-8198-2d889f784a31,"I'd like help find a hotel in Park City, Utah.",hotel-search
hotel-10,dlg-00ce819d-6592-4c8d-942e-83bb448e79d7,I'd like to find a hotel in San Francisco.,hotel-search
hotel-9,dlg-00dc5988-4e55-4a82-bb31-8ca5d2d53059,"I'm going to be traveling to Nashville, Tennessee in the next week for business purposes. I would like to find a hotel there.",hotel-search
hotel-9,dlg-00eb627a-c567-409c-b333-648f1e7a2aa2,"Oh yes, I'm looking for a hotel in Nashville, Tennessee.",hotel-search
hotel-9,dlg-0125be67-e5af-4621-8a03-3c54c7711291,"Hi, I'd like to find a hotel In Nashville, Tennessee.",hotel-search
hotel-1c,dlg-0126a31b-77ca-458f-9c4a-dcc5127a837d,I like to find out more about the hotel I plan to stay at Ocracoke.,hotel-search
hotel-16,dlg-0127439b-f3e8-4bd2-84ab-9c45847e3cd0,"Hi, I need help finding a hotel in Salem, Oregon.",hotel-search
hotel-10,dlg-0137b311-511a-4eca-8d74-6e71443c56e2,"Hello, I need help in finding a hotel?",hotel-search
