instruction_id,conversation_id,utterance,label
coffee-ordering-1,dlg-002d6e71-8506-4bf2-ab8c-cbfadf27078b,"Hey Chuck, I'd like you to hop online and order me a latte at Starbucks. Can you make a stop there on your way back?",coffee-order
coffee-ordering-1,dlg-00fac91c-cbab-4022-854c-55a095e02da9,I want a grande Caramel Cloud Macchiato,coffee-order
coffee-ordering-1,dlg-0104a165-f949-45bf-9129-6a31bc81c704,Hi Sofia. I would like to have Starbucks coffee . Could you please assist me with that?,coffee-order
coffee-ordering-1,dlg-01050cec-fb4f-4139-b4cf-10663354cb8d,Holly can you order me a coffee please,coffee-order
coffee-ordering-2,dlg-010f257a-a795-4966-a9ed-6f7e1bc5c43f,Hi. I'd like to place an order for Starbucks.,coffee-order
coffee-ordering-1,dlg-012f8c5c-6223-44da-ac67-f40e6e89aaf0,I want to order a coffee from Starbucks,coffee-order
coffee-ordering-1,dlg-01319d8c-cac4-44fb-8fe1-242d9d64031e,I would like to order a coffee drink from starbucks,coffee-order
coffee-ordering-1,dlg-01395f75-fcaa-4ae2-8013-29e893fc84cd,Good morning. I need you to order a coffee drink from Peets for me. ,coffee-order
coffee-ordering-1,dlg-013a96a6-9ea7-47b2-a3f4-78368958a429,Hi there. I am wanting you to order a coffee drink for me from Starbucks.,coffee-order
coffee-ordering-1,dlg-01a7a3f2-28e7-49e9-862c-9be06196e462,"Hello, I'm busy driving and would like you to order a coffee for me from Peets",coffee-order
coffee-ordering-1,dlg-0284f66b-6f52-45b0-80bf-39f524781393,"Can you please pick me up a grande cherry mocha, at Starbucks?",coffee-order
coffee-ordering-2,dlg-02931485-04db-49cf-bdba-55e18e54edbc,"Hi, I would like to order coffee from Starbucks",coffee-order
coffee-ordering-1,dlg-02cf82f9-650e-4969-863b-af056c7bf8ac,If they just made a pot fresh I want a venti regular,coffee-order
coffee-ordering-1,dlg-02d76b78-718e-4943-aa40-00159ce2b769,order a coffee for pick up at starbucks,coffee-order
coffee-ordering-2,dlg-03017c34-2504-4c82-9102-5e5211373e84,Can you take my Starbucks order for pickup please?,coffee-order
coffee-ordering-1,dlg-03a9c16f-3bab-4d2e-a022-1150e5ef1c47,What kind of cold coffee beverages does starbucks offer?,coffee-order
coffee-ordering-1,dlg-03b68c04-9246-4b22-b1ff-ba06a7b9fac8,"How are you Grace today, I would like to order me some coffee from starbucks.",coffee-order
coffee-ordering-1,dlg-03cf6976-6fbc-4a65-a445-faa56e3d23f2,Latte please,coffee-order
coffee-ordering-2,dlg-03f2aa98-0ed8-41f5-8013-c8930ef8c1ee,"Hi, can you order me a coffee?",coffee-order
coffee-ordering-2,dlg-03fafa4e-6477-442e-b73d-049c8a5f663b,"Hello, I'd like to order a Caramel Cloud Macchiato from Starbucks for pick-up.",coffee-order
coffee-ordering-2,dlg-040b705c-9881-4745-9ae8-ab79ffca34c5,"Hi, I need you to call Starbucks and order a coffee for me to pick up shortly.",coffee-order
coffee-ordering-2,dlg-040c289b-6029-44ab-8dc6-e5e39afb30cd,I'd like to place an order from Starbucks.,coffee-order
coffee-ordering-1,dlg-04edab40-949f-44d4-ae1f-135c64ca3521,I am wanting to order a Caffe Mocha from Starbucks to pick up.,coffee-order
coffee-ordering-2,dlg-050f9879-33cc-4968-babf-308845f42811,"Hi! On your way to work is it possible for you to get me Starbucks? This is my order Green Tea Cream Frappucino venti, light ice, made with soy milk, with whipped cream, with 2 extra scoop of matcha. Thank you!",coffee-order
coffee-ordering-2,dlg-0516b0ff-5a57-4b40-b2c0-6365df836c03,"Hello, I need a coffee from Peets, please.",coffee-order
coffee-ordering-1,dlg-0533de49-15a5-4b66-af26-e6294724423e,Does the starbucks near me have the skinny mocha?,coffee-order
coffee-ordering-1,dlg-05377ce2-2dda-4974-a385-326387557c2e,"Hi, I'd like a latte from Starbucks.",coffee-order
coffee-ordering-1,dlg-05922e77-1d7d-4d4c-ad94-fefa5e018877,I need to place an order at Starbucks.,coffee-order
coffee-ordering-1,dlg-05e0be06-7c37-4787-8712-373240210348,"Hello, I want to order some coffee",coffee-order
coffee-ordering-2,dlg-05e76992-939c-41bb-8f62-09b6430f9760,"Hi, I would like to order coffee",coffee-order
coffee-ordering-1,dlg-05f0c1b5-64dd-4efe-abde-2ef508c2d34b,I would like to get a cup of americano,coffee-order
coffee-ordering-1,dlg-062d284b-ab52-4abc-87da-53e799e43b3d,"Hey, can you put in an order at Starbucks for me?",coffee-order
coffee-ordering-1,dlg-063759ca-6641-4db0-8bb9-8fb63dad92f3,"Zoe, can you please pick me up coffee?",coffee-order
coffee-ordering-2,dlg-063b9738-97ac-4b28-b013-8da573fe9506,"Hello, I'd like to make a coffee order at Starbucks. ",coffee-order
coffee-ordering-1,dlg-06862cb1-259c-46a4-aec9-39c493cf7e09,I would like you to order me a drink from Starbucks please.,coffee-order
coffee-ordering-2,dlg-06fba204-1ba5-4075-81f0-e942f17f4b97,"Hi! I would like for you to order me something from Starbucks, okay?",coffee-order
coffee-ordering-1,dlg-07000e88-09a9-4cab-8aa1-6b61456416bb,Pick me up something from Starbucks.,coffee-order
coffee-ordering-1,dlg-073b91f2-e7bc-4959-a421-4e18640c6ba8,"Hi, can you order me a coffee to pick up at Peets?",coffee-order
coffee-ordering-2,dlg-077c4c0f-39c6-4310-9834-e962aebc112a,I'd like to get a coffee,coffee-order
coffee-ordering-2,dlg-077f7023-8f4a-493f-bcfe-9df9638092ca,"Pete, I need a Golden caffe latte.",coffee-order
coffee-ordering-1,dlg-07827a24-02b4-4cf3-824b-eb49a65ed4d8,i want some coffee right now,coffee-order
coffee-ordering-2,dlg-07dfdd1c-a3c0-4a6f-8073-3aa5c33c5fca,"Hi, I really need you to put in a starbucks order for me to pick-up please.",coffee-order
coffee-ordering-1,dlg-07fc4739-17c2-45a7-b855-a66021442576,"Hello, I need some coffee can you help me with an order?",coffee-order
coffee-ordering-2,dlg-080c011b-f39f-4a7e-a143-b0b7ecc1ab04,"Hi, I would like to make an order on Peets on Fifth Avenue.",coffee-order
coffee-ordering-2,dlg-083e1dc3-bb5a-48bb-9d11-284f3d1c0818,Hey there I wanna skinny Moks from Starbucks,coffee-order
coffee-ordering-1,dlg-0879cd3c-44ba-45a4-bf68-dd591c967499,Good morning. Coffee please.,coffee-order
coffee-ordering-1,dlg-089672f2-f05b-4056-ac51-2499aa00c0e1,"Hey, can you order me a drink from Starbucks?",coffee-order
