instruction_id,conversation_id,utterance,label
music-5,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,Can you play something by Whitney Houston.,music-search
music-6,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35,"Hello. Could you play something from the band Creed, please?",music-search
music-8,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,Can you play me a country song?,music-search
music-6,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e,Can you play something by August Burns Red?,music-search
music-6,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea,Hello.Play me Sia.,music-search
music-6,dlg-01216494-fbba-4866-817e-01c5326f8912,"Hello Assistant, I would like to hear some music by Michael Buble.",music-search
music-5,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,"Hey, Can I hear a song by Lorde?",music-search
music-6,dlg-013fffb7-bb46-480f-b17c-765239f37d7a,Can I hear a song by Diplo?,music-search
music-4,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,Hello. I'd like to listen to some music by AC/DC.,music-search
music-7,dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511,"Hi, I would like to listen to some music.",music-search
music-6,dlg-020ce3d1-20d4-4376-b459-373e92661e20,I would like some help browsing some music on YouTube from Florence and the Machine.,music-search
music-7,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,"I'd like help discovering some new music, please.",music-search
music-3,dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de,"Hello. Can you play something from The Cure, please?",music-search
music-2,dlg-02426869-9323-446c-91f0-46a6aec6b287,Please play something else by Daft Punk.,music-search
music-6,dlg-0242d167-3de8-4220-8d29-ae47332f2d57,Hi. I was wondering if you could play me some music. How about something by The Counting Crows?,music-search
music-1,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3,"Hi, Can I hear an Ariana Grande song?",music-search
music-8,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,I'd like to listen something in the category that helps with studying.,music-search
music-6,dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20,"How about something from The Beatles, please?",music-search
music-2,dlg-0300b764-6e70-42e0-9403-cda9a0711761,"Hi, Could you play me something by Katy Perry?",music-search
music-6,dlg-032a0b65-9f12-4ddc-9d5c-5f244f48a65e,"Hello assistant. I would love to hear some music by Barry Manilow, please.",music-search
music-7,dlg-033056a0-a119-4e7e-a71c-52297a102d7c,Hi. I'd like to listen to some music that's similar to Linkin Park.,music-search
music-5,dlg-03454801-7e5a-4804-8ce0-0d6feb91128b,Hello. Can you play some music by August Burns Red?,music-search
music-5,dlg-034a10d0-1b58-430c-bb4e-706e0c36d48a,Hi assistant. I'd like to hear some music by Billy Joel.,music-search
music-6,dlg-0370cc86-87ec-4ac3-b992-dc0961e39607,Could you play me a song by Moan?,music-search
music-6,dlg-03aedd11-6530-4dfe-941a-57f610aceec6,"Hi. Can you play a song by Wale, please?",music-search
music-6,dlg-03bb559d-4852-406c-96f9-4e909d16c962,"Hi, play True Colors by Phil Collins.",music-search
music-5,dlg-03c5a824-8a33-46c1-81fe-205a7e1261fd,I want to listen to some music from Hellyeah?,music-search
music-2,dlg-03d90b3b-0581-402d-bf4c-5b3afd0e00fb,Would you play something for me by Kris Kristofferson?,music-search
music-5,dlg-03ecd175-4020-43ad-a3a5-774bd95dfc75,"Hi, I'm trying to get a recommendation for a song.",music-search
music-5,dlg-03faae4f-00df-4790-bc0d-de54a04ccd22,Can you play something by Frank Farrell?,music-search
music-5,dlg-0413166d-d394-4eaa-b980-0fa9aaa3a2e3,"I am doing good, Thanks. I'd like to hear something from David Bowie.",music-search
music-5,dlg-0426c97e-0182-4960-a292-1e52d6792927,"I'd like to hear something by Katy Perry, please.",music-search
music-7,dlg-0432570c-307f-4246-8519-45d4cd246872,I would like to hear something that I've never heard before.,music-search
music-2,dlg-04a2b858-c17a-40ef-a157-49d8ff206321,"Hi, I would like to hear a song by Korn.",music-search
music-3,dlg-04ab5f13-2bf1-45b9-ba83-0672b3857fdc,I would like to hear something from the band Journey.,music-search
music-6,dlg-04beca9a-c279-49b2-a5b2-8b8e9fbf73a4,Hi. I wanna listen to Opeth.,music-search
music-2,dlg-04ca9fbb-b7ae-4a0e-a388-7952824ba58f,I'd like to hear some music by Biggie Smalls.,music-search
music-5,dlg-04d02dba-cf03-4e2c-812c-401a03d780c1,Hi. I would like to hear something by Taylor Swift.,music-search
music-5,dlg-052c1e8e-1865-4f90-bfd5-6c2e68fe5c01,Could you play Mumford & Sons?,music-search
music-5,dlg-0548c8d0-1409-416f-a878-633edd367663,Play something by Rancid.,music-search
music-6,dlg-05af4b3c-1ad7-40bd-8240-7f91a7de79c7,"Hello, I'd like some help. Rousing music, please.",music-search
music-2,dlg-05ed5b58-3fc6-4811-95f5-c743c4b9a6b6,I would like to hear music from Nirvana.,music-search
music-6,dlg-064127e3-1617-4bd2-a2e4-c4e2849c6d3f,Hello. Can I hear a song from Katy Perry?,music-search
music-7,dlg-06491c87-55bc-414e-a37c-9bad2839b3ef,"Hi. I'd like to discover some new music for me, please.",music-search
music-5,dlg-067f0e05-6569-4476-89c2-31d1ea27fae7,"Hi, can you find some music for me that's from Bob Dylan?",music-search
music-6,dlg-06948b86-68c3-45f0-997f-9452bf16de6d,"Yes. Can you play something from the band Mötley Crüe, please?",music-search
music-5,dlg-069e1672-2493-430b-9cbe-c5a95baa48b8,"I'd like some help browsing the music of The Beatles, please.",music-search
music-6,dlg-06a44eb0-36df-4652-9c81-2062ce3e4e69,Could you play Dr. Dre?,music-search
music-6,dlg-06b7d2f9-b938-48b6-9bb6-8e91ce4d0174,Can you play me a song by Taylor Swift?,music-search
music-6,dlg-06da7231-8017-4a8c-a6b7-619543923383,"Hi, Can you play me a song by Taylor Swift?",music-search
