instruction_id,conversation_id,utterance,label
flight-12,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,Hello. I'd like to find a round trip commercial airline flight from San Francisco to Denver.,flight-search
flight-7,dlg-0027f924-7723-48bc-bf18-e41c03b0e709,"Hi, I need to find a flight from JFK to Seattle.",flight-search
flight-6,dlg-0047a087-6a3c-4f27-b0e6-268f53a2e013,"Hi, I'm looking for a flight. I need to visit a friend.",flight-search
flight-11,dlg-005d7a68-35ec-4ed0-a0ab-715a499b48b7,"Hi assistant, need help finding a flight from Houston to London.",flight-search
flight-11,dlg-00754a9a-1b01-465d-adb9-5215a32d174d,I like to make a round-trip from Miami to Madrid.,flight-search
flight-7,dlg-0078b72c-401a-4a11-a62c-0bc3297d3266,I'm trying to fly to Seattle.,flight-search
flight-10,dlg-009c3fa1-6f6e-48dd-84c8-c52dbde6a4ae,"Hi, I would like to book a round trip commercial airline flight from Los Angeles to Boston.",flight-search
flight-12,dlg-00bc0a97-460f-441d-9dd7-269fc89e572c,"Hi, I need to book a round-trip flight from Sacramento to Houston.",flight-search
flight-12,dlg-00e32998-0b0f-47f1-a4f0-2ce90f1718d0,Hi. I'm looking for a round-trip commercial airline flight. I got to get to a funeral. I'm going from San Francisco to Chicago.,flight-search
flight-6,dlg-011f951c-2231-4dca-a55b-4ef97e599e7e,I'm looking for a flight to JFK.,flight-search
flight-6,dlg-01503495-899d-4862-a428-ea75e46177f0,"I'm trying to find a flight to New York City on May 16th, and coming back May 19th.",flight-search
flight-8,dlg-019cbf4f-e4f4-40e5-b37d-e0d25be5d76a,"Hi, I need to book a flight ticket from Los Angels to Las Vegas on April 1st and I will be coming back on April 3rd.",flight-search
flight-7,dlg-01af92d0-3ba7-42ac-b2d1-3af8ac82df2c,"Hello, I need a round trip flight to San Francisco.",flight-search
flight-5,dlg-01be55cd-1f5a-4b88-a5db-469b61813622,"Hi, I need help in finding a flight to Copenhagen.",flight-search
flight-12,dlg-01c15d77-d5ee-45f7-b149-386d4e04d26a,I'm looking to find a round trip commercial airline flight from Seattle to Chicago.,flight-search
flight-7,dlg-01d9b972-93b3-4e89-9eee-a460fa64d241,Help me find a flight to San Francisco.,flight-search
flight-4,dlg-01ef3e7d-d895-409e-8d5c-eb5c1c285a80,I would like help finding a flight to London.,flight-search
flight-12,dlg-01ff0557-678d-4110-8768-ee7afbdcb2f2,"Hi Assistant. I need to find a round-trip, commercial, airline flight from Los Angeles to Chicago. Can you help me?",flight-search
flight-4,dlg-01ff0a9f-8602-462a-affc-28039002fe80,I would like help finding a flight.,flight-search
flight-7,dlg-0202ef4d-5de8-441c-b66c-29521cea52b3,"I'd like help finding a flight to Seattle, Washington.",flight-search
flight-12,dlg-020b769d-4904-4070-94de-60f7ce617348,"I'd like to book a round-trip flight from Sacramento to Chicago, leaving today and returning in 4 days. I'd like evening departure times. Also, I would prefer cheapest and business class.",flight-search
flight-5,dlg-02329aef-3c98-40bc-ae70-c11eeeca2235,"Hi. I need help finding a flight to Paris, France.",flight-search
flight-12,dlg-0255be42-6aa3-4b83-995c-73a21bf5de8a,"All right, today I need your help finding up a flight, a round trip flight from Los Angeles to Chicago.",flight-search
flight-6,dlg-029578d0-2b26-4bb3-8b7c-cbbd5008cd7d,"Hello. I'd like to see about booking a flight from Seattle, Washington to Myrtle Beach, South Carolina.",flight-search
flight-5,dlg-02a3add6-906b-4598-89f9-614ff412bc5a,"Hi assistant. Yes, I'm trying to schedule an airplane flight to France.",flight-search
flight-10,dlg-02d3cc76-c1bb-4b86-9c08-48b01dbeaaf2,I need a flight from LA to Miami.,flight-search
flight-4,dlg-02d7d49e-d5b7-4c8a-b982-e936506ddcf6,I would like you to help me finding a flight.,flight-search
flight-12,dlg-02dafcc7-b934-409c-a658-585e4fe988ef,I'd like help getting a flight from Los Angeles to Chicago.,flight-search
flight-12,dlg-032d1836-0f6e-4826-bdd2-51ae123dcdd7,Hi. I need a flight today from Sacramento to Denver.,flight-search
flight-7,dlg-0331ef03-09fb-4272-9b2e-c1ef16f4be4d,Yes. I'm looking for a flight. I'm going to Seattle.,flight-search
flight-12,dlg-0345f61a-b9b9-49c6-a36b-32c66a6eb734,"Hi. Please, help me to find a round-trip commercial flight from LA to Denver. I have to leave today, return in 4 days during the evening both days.",flight-search
flight-5,dlg-0348da8d-11b4-4d49-b619-3ee49649d106,"I need help finding a flight to London, England.",flight-search
flight-4,dlg-035bb40f-7192-4283-92ec-65fcdc29ebbf,I would like help in finding a flight to London.,flight-search
flight-12,dlg-036864cd-fc93-42c5-88b4-c2aa121a871f,"Hi, I'm looking for a flight from Los Angeles to Houston.",flight-search
flight-12,dlg-036b6c81-b6b1-48c0-8002-46bd38e89d53,"Hi, I need help in finding a flight from San Francisco to Houston and I need to leave today, and I need to come back on August 5th.",flight-search
flight-12,dlg-036f2c7c-fdb4-4d93-bd29-d861a29e626b,Hi. I need to book a round-trip flight from Sacramento to Chicago.,flight-search
