instruction_id,conversation_id,utterance,label
uber-lyft-1,dlg-004c897b-0c8b-4b7c-9f58-8dcb46684187,"Hi, I need an uber",ride-book
uber-lyft-2,dlg-00862409-2171-4634-8aef-eba3e3b5671f,I want a pick up today.,ride-book
uber-lyft-1,dlg-00ba2eb7-754a-4b45-b4bb-08c66cbfd26f,"Hi, I would like to request a ride. ",ride-book
uber-lyft-1,dlg-00bbe474-c8a8-4978-8713-1b3b7c7f2308,"Hey, I need a pickup at school.",ride-book
uber-lyft-1,dlg-00cdb44e-6fa2-4e7c-a7db-510051c7adac,"Hello, I need you to order me a car through Lyft",ride-book
uber-lyft-2,dlg-00eb42dd-8596-4fb0-889a-cb17dfba84c1,hi i would like to get an uber for me and my friend ,ride-book
uber-lyft-1,dlg-014a3bde-32c2-4925-b812-31afafb6676b,"I'm in Boulder, can you get me an Uber?",ride-book
uber-lyft-1,dlg-0159546b-0ba1-44de-a4a3-3fcad2cd3d21,Hey I need you to order a ride for me.,ride-book
uber-lyft-2,dlg-015a9f6a-54b9-4538-9878-159bc5baf58e,i can't drive. get me a car.,ride-book
uber-lyft-2,dlg-01de3ce2-f299-4c9f-8824-2a5c3d54523a,Hello I need to get a car please.,ride-book
uber-lyft-2,dlg-02a55479-0fac-46c7-b555-6caffdb988d0,I need to book an Uber ride.,ride-book
uber-lyft-2,dlg-02cc6602-dd1c-411e-bb50-b4cef8121560,Hey Donna can you order me a LYFT?,ride-book
uber-lyft-2,dlg-02d4a029-d570-4323-85e8-9bc49ad5882a,"Hi, we're at Safeco field and need to book at car to our dinner reservation",ride-book
uber-lyft-2,dlg-033af8eb-b184-4e5e-a4f4-15fced78e289,I would like to get a lyft,ride-book
uber-lyft-2,dlg-038828ba-a049-45aa-8696-d5faa4597698,"Hello, I'm calling to order a car to go from my Room 12 at The Holiday Inn to a restaurant and then back to The Holiday Inn later on tonight.",ride-book
uber-lyft-1,dlg-038c692e-b245-41fa-b22d-f1a68c7639c4,I need an Uber ride at my location.,ride-book
uber-lyft-1,dlg-03c38420-1a71-490e-b9ef-8e4f2b45cfd4,I need picked up at the airport can you get me an Uber,ride-book
uber-lyft-1,dlg-03ed6f76-10eb-4b4f-80d0-540ee27e92d1,"Hey, please order an uber from my location",ride-book
