instruction_id,conversation_id,utterance,label
pizza-ordering-2,dlg-0013673c-31c6-4565-8fac-810e173a5c53,"I want to order a pizza from Bertuccis in Chelmsford, MA",pizza-order
pizza-ordering-2,dlg-001d8bb1-6f25-4ecd-986a-b7eeb5fa4e19,Hi I'd like to order two large pizzas.,pizza-order
pizza-ordering-2,dlg-0034fae9-a3bc-4a0b-b0c7-127f16e5dcb1,I would like to order something from Bosses Pizza can you put in an order for me?,pizza-order
pizza-ordering-2,dlg-003a10c4-9fdd-47da-bd56-1439c6acb37c,I want to order a pizza.,pizza-order
pizza-ordering-2,dlg-0053c980-6339-4df1-86ce-e2442205d970,Hey I'd like to order some pizza from papa johns.,pizza-order
pizza-ordering-2,dlg-00588c65-f23c-4efb-b9b5-6e28ae47524d,I would like to order a pizza.,pizza-order
pizza-ordering-2,dlg-005d90f8-17ef-4a9b-a08a-ef70aaa9493f,"Hi, I need to order pizza from Stony Brook Pizza.",pizza-order
pizza-ordering-2,dlg-00843e59-d1c8-4ee1-a056-c119ebb34441,hey would you order a pizza for me from the nearest Papa Jhons,pizza-order
pizza-ordering-1,dlg-00ae0331-b8b0-4b80-a0e9-b9003d53e036,I would like to place an order from Empire,pizza-order
pizza-ordering-2,dlg-00e67415-0846-4830-a106-10428029444c,"Hello Mauro, how are you? Hey, can you do me the favor of asking me for a big family pizza with extra cheese, today I will have dinner with my family",pizza-order
pizza-ordering-2,dlg-01085bb3-595b-4c63-b7d4-a76612baf536,"Hey, April. Can you place an order for pizza at Giovanni's for me?",pizza-order
pizza-ordering-2,dlg-010f2f9a-eb3a-4b63-a11b-88e382b7d5b4,Can I get a large hand tossed crust pizza please?,pizza-order
pizza-ordering-2,dlg-0118453e-87c1-4136-8b03-e1c35d943239,We need to order some pizza from papa murphys.,pizza-order
pizza-ordering-2,dlg-012053eb-f08c-4362-b816-fb6c7cd2c9c3,"I've been really craving pizza today, would you mind ordering me something from that place I love. ",pizza-order
pizza-ordering-2,dlg-01330328-e2ba-4641-892a-57186fa1a7bc,Open up the Pizza Store app,pizza-order
pizza-ordering-2,dlg-0142b31c-fddf-41fb-b24d-8f63cd7eaddd,Hi i would like a Godfather Pizza,pizza-order
pizza-ordering-2,dlg-016a3f7b-4f2a-4bea-995c-250bfba2939d,Hey! So I have a gathering tonight and I need a pizza ordered. Do you think you could do that?,pizza-order
pizza-ordering-2,dlg-016e0a77-eac9-4454-8ec1-198112b4321b,"Hi, can you order a pizza for me?",pizza-order
pizza-ordering-2,dlg-01e8291d-6d6b-4f78-80b6-c954e9759025,"Hey Jennifer, could you call in a pizza for me for lunch from Joe's?",pizza-order
