,instruction_id,conversation_id,utterance,label
0,restaurant-table-2,dlg-00055f4e-4a46-48bf-8d99-4e477663eb23,"Hi, I'm looking to book a table for Korean fod.",restaurant-book
1,movie-tickets-1,dlg-0009352b-de51-474b-9f13-a2b0b2481546,Hi I would like to see if the Movie What Men Want is playing here.,movie-ticket
2,movie-tickets-3,dlg-00123c7b-15a0-4f21-9002-a2509149ee2d,I want to watch avengers endgame,movie-ticket
3,pizza-ordering-2,dlg-0013673c-31c6-4565-8fac-810e173a5c53,"I want to order a pizza from Bertuccis in Chelmsford, MA",pizza-order
4,pizza-ordering-2,dlg-001d8bb1-6f25-4ecd-986a-b7eeb5fa4e19,Hi I'd like to order two large pizzas.,pizza-order
5,coffee-ordering-1,dlg-002d6e71-8506-4bf2-ab8c-cbfadf27078b,"Hey Chuck, I'd like you to hop online and order me a latte at Starbucks. Can you make a stop there on your way back?",coffee-order
6,pizza-ordering-2,dlg-0034fae9-a3bc-4a0b-b0c7-127f16e5dcb1,I would like to order something from Bosses Pizza can you put in an order for me?,pizza-order
7,auto-repair-appt-1,dlg-003677eb-20f8-4b1e-a396-c0f95a786543,"Hey, I'm driving and need you to set up an appointment for me at Intelligent Auto Solutions",auto-repair-appt
8,pizza-ordering-2,dlg-003a10c4-9fdd-47da-bd56-1439c6acb37c,I want to order a pizza.,pizza-order
9,uber-lyft-1,dlg-004c897b-0c8b-4b7c-9f58-8dcb46684187,"Hi, I need an uber",ride-book
10,pizza-ordering-2,dlg-0053c980-6339-4df1-86ce-e2442205d970,Hey I'd like to order some pizza from papa johns.,pizza-order
11,pizza-ordering-2,dlg-00588c65-f23c-4efb-b9b5-6e28ae47524d,I would like to order a pizza.,pizza-order
12,pizza-ordering-2,dlg-005d90f8-17ef-4a9b-a08a-ef70aaa9493f,"Hi, I need to order pizza from Stony Brook Pizza.",pizza-order
13,movie-tickets-2,dlg-00623cc1-4580-413c-9360-04461c17894f,I'd like to get tickets for Us,movie-ticket
