instruction_id,conversation_id,utterance,label
auto-repair-appt-1,dlg-003677eb-20f8-4b1e-a396-c0f95a786543,"Hey, I'm driving and need you to set up an appointment for me at Intelligent Auto Solutions",auto-repair-appt
auto-repair-appt-1,dlg-009f7c67-e349-443f-85f5-1fb784a3515d,"Hi, i'd like to schedule an mechanic appointment for my car. ",auto-repair-appt
auto-repair-appt-1,dlg-0117d8f2-3519-4009-bfb5-a6f89b9aa4a6,I'd like to book an appointment at Intelligent Auto Solutions,auto-repair-appt
auto-repair-appt-1,dlg-01944b14-87d9-498e-ad9f-57d4fe908888,"Hello, My tire pressure is starting to run low.",auto-repair-appt
auto-repair-appt-1,dlg-01b48ef4-48f1-4c1e-81a1-1abd4776d0b9,"Hi, I have something wrong with my car and I need to make an appointment to fix it.",auto-repair-appt
auto-repair-appt-1,dlg-028c3da3-4977-48fb-8ccc-16b41ca4d237,Good morning Bertha. Can you please schedule an appointment with Intelligent Auto Solutions? The power steering in my car seems off.,auto-repair-appt
auto-repair-appt-1,dlg-02a81a3a-513a-4e64-aab8-1486fb1e536a,"Hey! I'm having car problems, can you make an appointment at the repair shop for me?",auto-repair-appt
auto-repair-appt-1,dlg-0350eb2f-171f-4f96-8acf-88ddf977d56e,"I need help with my car, smoke is coming out of the engine now!",auto-repair-appt
auto-repair-appt-1,dlg-03cce3b2-b801-4aec-b64d-0e16aa08869f,I want to book an appointment for my car.,auto-repair-appt
auto-repair-appt-1,dlg-03dcc9c8-135c-4ee5-97fe-d190c85f3d5c,I'd like to schedule a repair for my car.,auto-repair-appt
auto-repair-appt-1,dlg-0412252c-8b0a-4b49-9412-3493989b6809,Hi. I think I need to take my car into the shop.,auto-repair-appt
auto-repair-appt-1,dlg-046b0bc3-8f2b-4e0e-ace8-47f3d0ddfd89,"Hello, I would like to make an appointment with a mechanic to check on my car. ",auto-repair-appt
auto-repair-appt-1,dlg-04bd2fe4-0c64-4fad-8e7b-97ca1ed7a525,"My car seems off, please make an appointment for a mechanic.",auto-repair-appt
auto-repair-appt-1,dlg-0533e90c-c87b-4409-b1cb-3ab24df106a1,this is mary at 8147896i need you to book the appointment for the auto shop called Intelligent Auto Solutions,auto-repair-appt
auto-repair-appt-1,dlg-053bd1c2-4250-4985-8a7d-116b7cc1abea,"Hello, while I am driving on the highway I feel my car start to shake as a I get to a higher speed.",auto-repair-appt
auto-repair-appt-1,dlg-057bafc6-7b04-4b82-a96c-7e4792d83604,"Hi, could please make an appointment for my car at Intelligent Auto Solutions?",auto-repair-appt
auto-repair-appt-1,dlg-05cd8579-c2e5-48ff-bd08-3b86cc90f120,I need to make an appointment at Intelligent Auto Solutions.,auto-repair-appt
auto-repair-appt-1,dlg-05ed3673-5eaa-457e-ade8-477f5a6293b4,I need to schedule my car maintenance. ,auto-repair-appt
auto-repair-appt-1,dlg-066170e0-80e3-4a51-af64-b92ebd4f3ea8,"Hey there, I need to make an appointment with a auto repair shop quick.",auto-repair-appt
